new/used,name,milage,price,id,drive mode,fuel consumption,fuel type,accident history,clean title,one owner?,personal use,factory recall
Used,2021 Chevrolet Equinox 1LT," 62,293 mi.","$20,750",c491f2c3-6211-4e0d-8c3c-b8f1a662f4a1,25–30,All-wheel Drive ,Gasoline ,None reported,Yes,Yes,No,
Used,2020 Ford F-150 XL," 54,109 mi.","$35,750",d3e428ce-4dca-49e4-a2db-2bb9badb1355,15–23,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,No,
Used,2021 Chevrolet Equinox 1LT," 62,463 mi.","$20,750",56929784-75b6-4ca0-babf-78e9215eb562,25–30,All-wheel Drive ,Gasoline ,None reported,Yes,Yes,No,
,,,,9bdc0fb2-d2b2-4b9e-ad58-d6b55b208a8e,,,,,,,,
Used,2020 Nissan Rogue SV," 82,410 mi.","$18,000",f26aef9f-c1ca-4b51-8d7b-9b65f19e959b,25–32,All-wheel Drive ,Gasoline ,None reported,Yes,Yes,No,
Used,2021 Chevrolet Equinox 1LT," 57,312 mi.","$20,350",2e26a070-6f1f-4bad-be05-26d825ac7f13,25–30,All-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,Yes,Yes,
Used,2021 Chevrolet Equinox 1LT," 63,827 mi.","$20,750",8de0bcbe-9453-46da-ac7d-bc54b8a1033d,25–30,All-wheel Drive ,Gasoline ,None reported,Yes,Yes,No,
Used,2019 Lincoln Nautilus Select," 63,144 mi.","$25,250",0c1e3f50-9450-41cf-a31e-9494f87b3baa,20–25,All-wheel Drive ,Gasoline ,None reported,Yes,Yes,No,
Used,2019 Toyota 4Runner ," 57,000 mi.","$36,250",c3b903c5-e08c-4179-8800-ea43d0b01937,17–20,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
Used,2016 Chevrolet Silverado 1500 Custom," 36,006 mi.","$27,750",e12caa8f-6f5f-4565-9f39-617593970320,17–22,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
Used,2021 Chevrolet Equinox 1LT," 60,468 mi.","$19,950",4e22ac2d-6714-4acc-9bf2-05e210d0547e,25–30,All-wheel Drive ,Gasoline ,None reported,Yes,Yes,No,
Used,2020 Ford Escape SE," 61,541 mi.","$17,995",fd0ab4af-2a87-4367-9640-acc8c9ba04a9,26–31,All-wheel Drive ,Gasoline ,None reported,Yes,No,Yes,At least 1 open recall reported
Used,2015 Ford Explorer Sport," 108,659 mi.","$17,499",0b0b2647-56d4-47e1-bf61-6b445e484bd8,16–22,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,Yes,Yes,
Honda Certified,2022 Honda Accord Hybrid ," 22,501 mi.","$33,593",fe6c288b-31b8-4422-80b3-0970983b17f7,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Honda Certified,2022 Honda Passport ," 32,480 mi.","$40,945",89fdd348-2931-4a60-9a34-e4454b84d7bd,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Used,2016 Ford Escape SE," 121,142 mi.","$10,999",883c954e-fff0-4328-8464-854c04ebcf22,22–29,Four-wheel Drive ,Gasoline ,None reported,Yes,No,No,
Subaru Certified,2021 Subaru Forester Touring," 24,712 mi.","$34,995",c1aa2558-db9b-482f-868d-4cb63dd5c239,–,– ,– ,"5 years/80,000 miles",Coverage available for purchase,"7 years/100,000",152-point inspection,Yes
Kia Certified,2021 Kia K5 EX," 23,650 mi.","$32,995",d9032cf8-40ef-482c-947f-ba68937c8d61,–,Front-wheel Drive ,– ,"6 years or newer/less than 80,000 miles","12 months/12,000 miles","10 years/100,000 miles","

          165-point inspection

",Yes
Kia Certified,2023 Kia Forte GT-LINE," 9,024 mi.","$25,995",c56f1c54-7392-4c0a-93c8-d31cb58700a1,–,Front-wheel Drive ,– ,"6 years or newer/less than 80,000 miles","12 months/12,000 miles","10 years/100,000 miles","

          165-point inspection

",Yes
Nissan Certified,2021 Nissan Rogue SV," 27,961 mi.","$33,995",c2174591-634e-47e5-bcfc-e8a8c8dac6cd,–,All-wheel Drive ,– ,None reported,Yes,Yes,No,
Used,2018 Ford EcoSport SES," 86,618 mi.","$15,999",d08a1bb2-8d7d-43e6-b8a0-2a0c17f2bae9,23–29,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,Yes,No,
Honda Certified,2020 Honda CR-V ," 38,793 mi.","$32,545",8c4f1b5f-1653-45c8-8608-f398e770c204,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Honda Certified,2020 Honda CR-V ," 16,788 mi.","$33,595",b95d42a2-3bab-44de-a54d-f9655a941d6c,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Used,2010 Ford F-150 SuperCab," 137,534 mi.","$14,999",c7fb23da-266c-49dd-8ceb-3b419865c201,"14


",Four-wheel Drive ,E85 Flex Fuel ,None reported,Yes,No,Yes,
Honda Certified,2020 Honda CR-V ," 34,288 mi.","$31,495",f1a87a06-ffae-4433-aa69-79a54ae504f3,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Used,2013 Toyota Corolla Base," 166,130 mi.","$10,999",b9145dd5-f588-4ab1-a14c-e8715f6a36d5,"34


",Front-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,No,Yes,At least 1 open recall reported
Nissan Certified,2022 Nissan Rogue SV," 12,954 mi.","$30,995",83855aeb-8f84-40e4-a549-5f14964ee0a4,–,All-wheel Drive ,– ,None reported,Yes,Yes,Yes,
Honda Certified,2020 Honda CR-V ," 42,782 mi.","$30,445",6f77cb9d-69ed-43fd-b498-54ed62d15803,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Toyota Certified,2024 Toyota Camry SE, 217 mi.,"$30,995",a05476b5-efa0-41ea-b77e-f0912c42c83d,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Kia Certified,2022 Kia K5 EX," 48,662 mi.","$32,995",ed0a2d20-b126-4f91-af8b-737c7ef72d75,–,Front-wheel Drive ,– ,"6 years or newer/less than 80,000 miles","12 months/12,000 miles","10 years/100,000 miles","

          165-point inspection

",Yes
Honda Certified,2020 Honda Civic ," 5,140 mi.","$29,395",f213f16e-831b-42ea-bd08-d935c00e4243,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Honda Certified,2021 Honda CR-V ," 36,196 mi.","$35,695",9a63ef7b-d8ae-432c-8d38-c4fd10c2c672,–,– ,Gasoline ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Used,2021 RAM 2500 Lone Star Regular Cab 4x4 8' Box," 68,664 mi.","$43,750",f1da874b-abc3-4b11-9d16-d5fb234990c1,"0–0

",Four-wheel Drive ,Diesel ,At least 1 accident or damage reported,Yes,No,No,
Used,2020 Chevrolet Silverado 1500 Custom," 62,343 mi.","$32,250",ae9fe81e-c24b-45ca-a646-d23fdec15381,20–22,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,No,
Used,2020 Chevrolet Traverse LT Leather," 60,148 mi.","$29,950",a1d17726-d69b-43ad-9301-9c8529bf2596,17–25,All-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,Yes,No,
Used,2018 Chevrolet Silverado 1500 1LT," 82,394 mi.","$26,950",652aab20-a4db-4658-ad30-a8d933636150,17–22,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,No,No,
Used,2021 Chevrolet Silverado 1500 LT Trail Boss," 7,573 mi.","$47,500",1bc5a2cc-fb6f-4198-842c-59667f23899e,15–21,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,Yes,No,
Used,2021 Chevrolet Trax LT," 59,986 mi.","$18,950",c3793cb8-d6e0-4dd9-aef3-18816c5b4d03,24–29,All-wheel Drive ,Gasoline ,None reported,Yes,No,No,
Used,2014 Subaru Legacy 3.6R Limited," 101,576 mi.","$9,975",0743ad51-e3fd-41bb-b91b-6f9aa7090f79,18–25,All-wheel Drive ,Gasoline ,None reported,Yes,No,Yes,
Used,2021 Chevrolet Colorado LT," 53,030 mi.","$30,750",7ba9a68e-405a-4058-a7b0-480b1469a676,17–24,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
Used,2019 Chevrolet Colorado Z71," 60,345 mi.","$28,500",4449ed39-3f37-4ae4-b363-a7c5a84291ff,17–24,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,Yes,No,
Used,2021 Ford F-150 XLT," 54,323 mi.","$36,995",c62a6e9e-1ebb-433b-8a2d-31f74ec3b856,16–22,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,At least 1 open recall reported
Used,2021 Chevrolet Silverado 1500 High Country," 54,271 mi.","$44,750",bb891c1c-254d-4e42-a0c9-3431ba336651,22–26,Four-wheel Drive ,Diesel ,None reported,Yes,Yes,No,
Used,2016 Toyota Tundra SR5," 213,009 mi.","$17,995",34921318-37da-4684-9507-2ba6c13dc2d6,,,,None reported,Yes,Yes,Yes,
Used,2020 Ford Escape SE," 94,185 mi.","$18,500",b6b9fde9-c45f-4985-b2f5-501a9a9cf451,26–31,All-wheel Drive ,Gasoline ,None reported,Yes,Yes,No,
Used,2021 Toyota Tacoma ," 48,685 mi.","$34,500",fee5409c-db57-408c-a3e4-fa3ddb83c0cb,"0–0

",Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,No,
Used,2020 Chevrolet Silverado 1500 LT Trail Boss," 31,300 mi.","$43,500",25ba7382-d649-4449-945c-a6541ffc826d,16–21,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
Used,2019 Chevrolet Silverado 1500 LT," 137,053 mi.","$24,500",a994211f-71da-4579-9009-e81605ba4ad4,18–22,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,Yes,No,At least 1 open recall reported
Used,2021 Chevrolet Colorado LT," 46,874 mi.","$29,950",1a995f75-60b3-48ba-a72f-7a84bbd06f6f,17–24,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
Kia Certified,2022 Kia Telluride SX PRESTIGE," 55,557 mi.","$47,995",975fb5b0-ec6e-46ae-891d-cc9966f384f7,–,All-wheel Drive ,– ,"6 years or newer/less than 80,000 miles","12 months/12,000 miles","10 years/100,000 miles","

          165-point inspection

",Yes
Used,2013 Jeep Grand Cherokee Overland," 65,388 mi.","$18,999",7015e02a-0c71-4f88-a1b7-70982ad33707,16–23,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
Honda Certified,2020 Honda CR-V ," 28,055 mi.","$29,395",7ec27bef-df48-4d97-9f0b-ad7487a37c6f,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Honda Certified,2020 Honda CR-V ," 25,429 mi.","$33,595",91c3c548-fcfd-4375-94be-f64b4e018729,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Used,2018 Ford F-150 XLT," 100,071 mi.","$26,999",298bfd88-0278-4410-9a10-56ac327cb929,–,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
Honda Certified,2019 Honda CR-V ," 52,776 mi.","$31,495",1db1b812-6156-439c-bb3e-2ce2569638bf,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Subaru Certified,2021 Subaru Crosstrek Premium," 32,900 mi.","$29,995",56f52705-dc91-481d-b880-5273ff55c01d,–,– ,– ,"5 years/80,000 miles",Coverage available for purchase,"7 years/100,000",152-point inspection,Yes
Honda Certified,2019 Honda CR-V ," 34,864 mi.","$31,495",918c52d4-9294-4f3c-b686-f05ca13caefe,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Honda Certified,2021 Honda Civic ," 29,314 mi.","$29,395",00975e1b-5f6e-47ca-bdff-258a3eb50dce,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Honda Certified,2020 Honda CR-V ," 33,245 mi.","$31,495",98415bea-4727-4129-92eb-47051eac32c1,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Nissan Certified,2022 Nissan Pathfinder Platinum," 31,109 mi.","$46,995",49f5f2f3-d361-40e0-af80-e78678b12a32,–,Four-wheel Drive ,– ,At least 1 accident or damage reported,Yes,No,Yes,
Used,2012 Ford F-150 ," 74,141 mi.","$20,750",7eb6ea85-a7a8-4d40-9c1b-42ceecd184e6,14–19,Four-wheel Drive ,E85 Flex Fuel ,None reported,Yes,No,Yes,
Used,2021 Chevrolet Equinox 1LT," 62,066 mi.","$20,750",53b0d957-2333-49f1-9b17-85ead69a1231,25–30,All-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,Yes,No,
Used,2021 Chevrolet Equinox 1LT," 62,196 mi.","$21,250",e7e74290-041d-4748-9c74-4d1eea07df81,25–30,All-wheel Drive ,Gasoline ,None reported,Yes,Yes,No,
Used,2021 Chevrolet Equinox 1LT," 62,886 mi.","$20,750",b24f0d70-bf74-4188-96a1-b19050b58a32,25–30,All-wheel Drive ,Gasoline ,None reported,Yes,Yes,No,
Used,2016 Chevrolet Equinox LT," 97,930 mi.","$13,999",10e2c65a-cf26-4e43-adcc-c406f7f97e2a,20–29,All-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,No,No,
,,,,a8cf2fc8-9d46-424e-86e3-eacd39f0a140,,,,,,,,
Nissan Certified,2022 Nissan Frontier PRO-4X," 13,927 mi.","$39,995",4d1e737b-280e-4ec1-8dce-c8e00d29a8f1,–,Four-wheel Drive ,– ,None reported,Yes,Yes,Yes,
Nissan Certified,2022 Nissan Frontier PRO-4X," 14,412 mi.","$41,995",d6f34d3f-b44e-4a92-ab47-8b1a7859de63,–,Four-wheel Drive ,– ,None reported,Yes,Yes,Yes,
Ford Certified,2021 Ford F-150 LARIAT," 41,143 mi.","$52,990",e53271d9-a8a0-478c-886c-09bbf999564c,–,– ,– ,None reported,Yes,Yes,Yes,
Ford Certified,2021 Ford F-150 XL," 44,638 mi.","$39,775",f47c37aa-a4e6-4e89-945d-c1d1a2ab49ad,–,– ,– ,"Fords and many non-Ford vehicles up to 10 years old with less than 150,000 miles"," 90-Day/4,000-Mile (whichever comes first) Comprehensive Limited Warranty",Available,"

          139-point inspection

",Yes
Ford Certified,2023 Ford F-150 TREMOR," 4,569 mi.","$71,990",9b9745f8-34ec-4774-b84e-8656c195771f,–,– ,– ,None reported,Yes,Yes,Yes,
Toyota Certified,2021 Toyota 4Runner Limited," 24,801 mi.","$49,995",1351d7f9-b1cb-43d7-aea8-353c11d34e53,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2019 Toyota C-HR XLE," 46,504 mi.","$22,995",b0bacfa9-776e-4a14-b66a-84aa8f07a084,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2023 Toyota Tacoma TRD Off-Ro," 12,556 mi.","$45,995",e96c37f4-5e96-42ed-962a-b3b525870b62,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2020 Toyota Camry LE," 19,581 mi.","$24,495",8f40ce95-e3f3-4430-ae63-0b82b0e7b0eb,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
,,,,b17fbcb2-37e0-4f58-8f81-d3b95c2511cf,,,,,,,,
Toyota Certified,2022 Toyota 4Runner Limited," 30,049 mi.","$48,995",474ab75b-bbcc-4432-9f86-c64db015ae0a,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2022 Toyota RAV4 LE," 20,876 mi.","$33,495",05e80c28-129a-4070-9d38-6a292dcc1005,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
,,,,9288050d-8e93-498d-9464-f95e0abe9cb5,,,,,,,,
Toyota Certified,2022 Toyota RAV4 Hybrid XLE," 20,680 mi.","$38,995",f7072d9a-99ed-459d-b0f5-1ccaa8b201c2,–,– ,B ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2021 Toyota 4Runner Limited," 26,526 mi.","$46,995",8e575a57-a3d8-487b-88d0-71923ceaec03,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2021 Toyota 4Runner TRD Off-Ro," 38,634 mi.","$42,995",0a70b13b-bc7f-4872-ac70-6a0ca89f2cc1,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2020 Toyota Tundra Limited," 10,860 mi.","$50,995",e685e59c-582f-4848-909c-9726642f943d,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2021 Toyota Venza XLE," 26,079 mi.","$36,995",5129bf24-d56f-4569-b9a8-0e906068037e,–,– ,B ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2021 Toyota RAV4 Hybrid XSE," 21,354 mi.","$39,995",975dca06-a749-498f-8f35-b471c4eb455d,–,– ,B ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Honda Certified,2020 Honda HR-V ," 71,188 mi.","$28,345",c37435d1-ed77-408f-999f-3ce98cf304cc,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Honda Certified,2020 Honda CR-V ," 29,533 mi.","$31,495",ab77110a-e1dc-40da-9f81-547eb81e53bb,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Honda Certified,2020 Honda Civic ," 24,048 mi.","$28,345",2c1fa9ae-714e-497f-97af-71de9455ce02,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Honda Certified,2022 Honda CR-V ," 32,447 mi.","$33,595",7d2ffccf-e399-4d48-a5bc-ca63b85759ea,–,– ,Gasoline ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Honda Certified,2021 Honda CR-V ," 21,289 mi.","$36,745",84778952-b1ca-492f-8e85-74a197ac874a,–,– ,Gasoline ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Honda Certified,2018 Honda Accord ," 62,174 mi.","$22,045",00997b41-0cb8-47f1-82a5-07d619144876,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Honda Certified,2022 Honda HR-V ," 38,435 mi.","$30,445",2d5f800a-c473-4db3-bbb6-bdaae85767ff,–,– ,Gasoline ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Honda Certified,2021 Honda Accord ," 3,301 mi.","$29,395",3e63b500-24f8-488a-baf1-3442d23f2f8f,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Honda Certified,2022 Honda Pilot ," 22,889 mi.","$43,045",ded9059a-dfef-4672-9536-8bbcb06cb508,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Honda Certified,2022 Honda Pilot ," 39,849 mi.","$41,995",aed2fada-7348-4141-865b-aa629dd41c80,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Kia Certified,2021 Kia Sportage S," 66,827 mi.","$25,995",78b285b3-5326-43de-a1fd-506ecbcb406a,–,All-wheel Drive ,– ,"6 years or newer/less than 80,000 miles","12 months/12,000 miles","10 years/100,000 miles","

          165-point inspection

",Yes
Subaru Certified,2023 Subaru Ascent Limited," 20,702 mi.","$42,995",6107f3a7-818d-48b5-bc1e-9a1efee132b1,–,– ,– ,"5 years/80,000 miles",Coverage available for purchase,"7 years/100,000",152-point inspection,Yes
Subaru Certified,2021 Subaru Outback Limited," 40,341 mi.","$32,995",870bcbde-7668-4b14-88fe-e967e6bfd2ff,–,– ,– ,"5 years/80,000 miles",Coverage available for purchase,"7 years/100,000",152-point inspection,Yes
Subaru Certified,2021 Subaru Forester Premium," 45,334 mi.","$29,995",31f9b09c-ecf2-45a4-9634-075ff60029d3,–,– ,– ,"5 years/80,000 miles",Coverage available for purchase,"7 years/100,000",152-point inspection,Yes
Subaru Certified,2020 Subaru Forester Touring," 29,910 mi.","$33,995",7a9ae3e4-5149-4abd-aa9b-a9fd6c6421db,–,– ,– ,"5 years/80,000 miles",Coverage available for purchase,"7 years/100,000",152-point inspection,Yes
Subaru Certified,2022 Subaru Forester Wilderness," 17,775 mi.","$37,995",052db3ac-fc53-45c2-ba00-6bb77f6700b6,–,– ,– ,"5 years/80,000 miles",Coverage available for purchase,"7 years/100,000",152-point inspection,Yes
Subaru Certified,2022 Subaru Legacy Premium," 26,369 mi.","$29,995",24ed7df4-33d9-4113-b3cd-0031b1293773,–,– ,– ,"5 years/80,000 miles",Coverage available for purchase,"7 years/100,000",152-point inspection,Yes
Subaru Certified,2021 Subaru Crosstrek Limited," 24,896 mi.","$31,995",a0e249be-65d1-45ef-8acf-ca892bf5e9f1,–,– ,– ,"5 years/80,000 miles",Coverage available for purchase,"7 years/100,000",152-point inspection,Yes
Subaru Certified,2023 Subaru Outback Limited XT, 276 mi.,"$40,995",36fa04b2-887d-4df4-91c2-f6632c557525,–,– ,– ,"5 years/80,000 miles",Coverage available for purchase,"7 years/100,000",152-point inspection,Yes
Subaru Certified,2020 Subaru Outback Touring," 24,485 mi.","$34,995",38a0904c-87da-467e-b944-6e4df4b89d41,–,– ,– ,"5 years/80,000 miles",Coverage available for purchase,"7 years/100,000",152-point inspection,Yes
Subaru Certified,2022 Subaru Impreza ," 30,525 mi.","$23,995",d27b75ca-fc31-4435-9b40-3d2cfb3a84ad,–,– ,– ,"5 years/80,000 miles",Coverage available for purchase,"7 years/100,000",152-point inspection,Yes
Subaru Certified,2022 Subaru Outback Premium," 34,447 mi.","$33,995",94d31d0c-dd79-4585-9a85-4b64a19582c3,–,– ,– ,"5 years/80,000 miles",Coverage available for purchase,"7 years/100,000",152-point inspection,Yes
Subaru Certified,2023 Subaru Outback Limited," 13,805 mi.","$43,995",e4e3c7d0-1253-4799-b809-07b29e679622,–,– ,– ,"5 years/80,000 miles",Coverage available for purchase,"7 years/100,000",152-point inspection,Yes
Used,2016 Ford Focus SE," 100,253 mi.",Not Priced,b2951cc2-5cb5-46e0-a522-32ebf71eea2e,26–36,Front-wheel Drive ,E85 Flex Fuel ,None reported,Yes,No,No,At least 1 open recall reported
,,,,77436fde-0bb4-445b-911f-5e06bebfdf00,,,,,,,,
,,,,9295cee3-afc5-4838-a126-5f42a74f8eda,,,,,,,,
,,,,5ca2235a-dfa6-428e-8a1b-9525294fe5a9,,,,,,,,
,,,,3c72cdec-730e-43a2-ae14-3c8bd2dc7241,,,,,,,,
Nissan Certified,2022 Nissan Frontier PRO-4X," 8,119 mi.","$42,995",e13bdc08-809f-4361-8efe-e16fc4294835,–,Four-wheel Drive ,– ,None reported,Yes,Yes,Yes,
Toyota Certified,2021 Toyota RAV4 XLE," 49,089 mi.","$30,995",806ee986-68e7-4e96-9f05-87408c6809ba,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2021 Toyota RAV4 XLE Premiu," 40,590 mi.","$35,999",1a47ee61-5315-45ec-85e9-5da09844e495,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
,,,,71b13f83-a66e-4284-bb4b-4d3ec9387179,,,,,,,,
Used,2021 Chevrolet Equinox 1LT," 61,514 mi.","$20,950",a9924f81-d983-429a-b584-a877a94c0056,25–30,All-wheel Drive ,Gasoline ,None reported,Yes,Yes,No,
Used,2021 Chrysler Voyager LX," 63,735 mi.","$22,500",9a3d875d-c634-44ac-bdd9-f2a3464d2cbb,19–28,Front-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
Honda Certified,2020 Honda Civic ," 72,359 mi.","$24,145",7b3f5ae3-bacf-4680-a7d2-6245e6b5548b,–,– ,– ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
Honda Certified,2022 Honda Ridgeline ," 13,454 mi.","$41,995",652f971c-6aef-4082-bf07-ca77955f66a0,–,All-wheel Drive ,Gasoline ,"More than 12 months or 12,000 miles from their original in-service date, with 80,000 miles or fewer at time of vehicle delivery.","5 years/86,000 miles","7 years/100,000 miles","

          182-point inspection

",Yes
