new/used,name,milage,price,id,drive mode,fuel consumption,fuel type,accident history,clean title,one owner?,personal use,factory recall
Hyundai Certified,2021 Hyundai Sonata Hybrid Blue," 33,858 mi.","$27,995",60c443fa-65d0-4015-940c-1f93d5cbb851,–,Front-wheel Drive ,Hybrid ,None reported,,Yes,Yes,
Hyundai Certified,2020 Hyundai Kona Ultimate," 40,579 mi.","$27,775",7415aa42-860c-458d-85b8-b48c6a4e70cd,–,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Hyundai Certified,2021 Hyundai Kona Limited," 35,355 mi.","$27,495",96e4f053-9a42-41d4-8778-6a3e1d4fb17d,–,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
,,,,d30d5257-ffe9-4ec4-82e7-7fd8d5ca61a1,,,,,,,,
Hyundai Certified,2020 Hyundai Tucson Sport," 25,163 mi.","$28,995",914fac1c-03a8-49c3-8935-8f43c8e04338,–,All-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,Yes,Yes,
Hyundai Certified,2020 Hyundai Elantra Value Edition," 17,047 mi.","$21,995",b800cb6a-d132-41fe-9d9c-7af85b7a48e7,–,Front-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Hyundai Certified,2021 Hyundai Tucson SE," 32,892 mi.","$24,995",ebb7e549-5334-4a60-b7eb-807382323a85,–,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Hyundai Certified,2021 Hyundai Palisade SEL," 28,417 mi.","$40,399",1d53512d-9c77-415b-a41c-b6c6b8896b65,–,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Hyundai Certified,2022 Hyundai Sonata SEL," 11,693 mi.","$30,425",caa41b91-fab7-4414-9e80-0f25d7a4b45c,–,Front-wheel Drive ,Gasoline ,None reported,,No,No,
Hyundai Certified,2021 Hyundai Kona Ultimate," 28,235 mi.","$29,425",d5c21a13-542c-49f8-8c9c-9aa27f246d0d,–,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Hyundai Certified,2022 Hyundai Palisade SEL," 33,846 mi.","$44,995",22c3b556-0513-4caf-93c3-2d66e4c16ff6,–,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Ford Certified,2021 Ford F-350 PLATINUM," 53,355 mi.","$68,399",c6514748-4a69-405e-a5ae-4e834b4bedfe,–,– ,– ,None reported,Yes,Yes,Yes,
Ford Certified,2021 Ford F-250 KING RANCH," 36,447 mi.","$77,999",5d9c1b9a-e4e4-425e-a449-93b7bee34d88,–,– ,– ,"Gold Certified: Ford models up to 6 years old with less than 80,000 miles","12-Month/12,000-Mile (whichever comes first) Comprehensive Limited Warranty Blue Certified: 90-Day/4,000-Mile (whichever comes first) Comprehensive Limited Warranty Disclaimer: See your dealer for warranty coverage details.","7-Year/100,000-Mile (whichever comes first) Powertrain Limited Warranty Blue Certified: Available Disclaimer: See your dealer for warranty coverage details.","

          Certified 172-point inspection 

",Yes
Ford Certified,2021 Ford F-350 LARIAT SUPER DUTY," 34,256 mi.","$76,999",181f3171-0883-46ec-a7e3-bce8265ebd3c,–,– ,– ,None reported,Yes,Yes,Yes,
,,,,83f24179-2f31-47a5-800f-85e9203109a3,,,,,,,,
Mercedes-Benz Certified,2022 Mercedes-Benz GLA 250 Base 4MATIC," 16,154 mi.","$41,918",c70d6759-41a5-4af9-90d4-3a228ed721d5,–,– ,Gasoline ,"6 years old or less/less than 75,000 miles",1 year/unlimited miles,1 year/unlimited miles,164-point inspection,Yes
Mercedes-Benz Certified,2021 Mercedes-Benz GLA 250 ," 17,244 mi.","$38,981",1e5a5bfa-85c1-4eb8-80cf-eec75b03f8c1,–,– ,Gasoline ,"6 years old or less/less than 75,000 miles",1 year/unlimited miles,1 year/unlimited miles,164-point inspection,Yes
Mercedes-Benz Certified,2021 Mercedes-Benz GLC 300 ," 30,267 mi.","$44,981",ca68b00c-2cc0-453a-a1a6-8aeb15444403,–,– ,Gasoline ,"6 years old or less/less than 75,000 miles",1 year/unlimited miles,1 year/unlimited miles,164-point inspection,Yes
Mercedes-Benz Certified,2023 Mercedes-Benz GLE 350 Base 4MATIC," 9,893 mi.","$64,891",d74aec3f-7f1d-4fd7-a0c3-84110dc23e35,–,– ,Gasoline ,"6 years old or less/less than 75,000 miles",1 year/unlimited miles,1 year/unlimited miles,164-point inspection,Yes
Mercedes-Benz Certified,2020 Mercedes-Benz E-Class E 350 4MATIC," 28,140 mi.","$47,891",9a4a2743-a2c9-493d-aad4-dd0893f13fbd,–,– ,Gasoline ,"6 years old or less/less than 75,000 miles",1 year/unlimited miles,1 year/unlimited miles,164-point inspection,Yes
Mercedes-Benz Certified,2022 Mercedes-Benz AMG SL 63 , 842 mi.,"$171,981",42f08fd7-c8ba-4662-b509-f530717c88eb,–,– ,Gasoline ,"6 years old or less/less than 75,000 miles",1 year/unlimited miles,1 year/unlimited miles,164-point inspection,Yes
Mercedes-Benz Certified,2019 Mercedes-Benz GLA 250 ," 54,801 mi.","$28,981",acfb08a8-a586-44a7-baa3-b37cf70fe5cb,–,– ,Gasoline ,"6 years old or less/less than 75,000 miles",1 year/unlimited miles,1 year/unlimited miles,164-point inspection,Yes
Mercedes-Benz Certified,2021 Mercedes-Benz GLA 250 ," 9,831 mi.","$38,981",e39f1467-2b0f-4b1f-a66d-73f72362e7c6,–,– ,Gasoline ,"6 years old or less/less than 75,000 miles",1 year/unlimited miles,1 year/unlimited miles,164-point inspection,Yes
Mercedes-Benz Certified,2021 Mercedes-Benz GLC 300 ," 25,078 mi.","$43,918",c6db120f-e186-4a67-a49c-37c925f5acb7,–,– ,Gasoline ,"6 years old or less/less than 75,000 miles",1 year/unlimited miles,1 year/unlimited miles,164-point inspection,Yes
